"Time","k6_http_req_duration_95percentile{test_run_id=""1786861""}"
1685506980000,19.45
1685506995000,22.2
1685507010000,24
1685507025000,25
1685507040000,14
1685507055000,25
1685507070000,16.35
1685507085000,14
1685507100000,22.95
1685507115000,24
1685507130000,14
1685507145000,14
1685507160000,14
1685507175000,16.4
1685507190000,19.9999999999999
1685507205000,20.3999999999999
1685507220000,24
1685507235000,18.0999999999999
1685507250000,20.9999999999999
1685507265000,24
1685507280000,14
1685507295000,14
1685507310000,14
1685507325000,14
1685507340000,14
1685507355000,14
1685507370000,14
1685507385000,14.1
1685507400000,14
1685507415000,18
1685507430000,16
1685507445000,15.65
1685507460000,19.35
1685507475000,15
1685507490000,24
1685507505000,17.85
1685507520000,16
1685507535000,14.55
1685507550000,14
1685507565000,15.65
1685507580000,15
1685507595000,19.9001768112182
1685507610000,24.4432373046875
1685507625000,24.5708351135254
1685507640000,24.0417677879333
1685507655000,18.1645685195923
1685507670000,13.0532824039459
1685507685000,13.0532824039459
1685507700000,13.0532824039459
1685507715000,13.0532824039459
1685507730000,13.0532824039459
1685507745000,13.0532824039459
1685507760000,13.0532824039459
1685507775000,13.0532824039459
1685507790000,13.0532824039459
1685507805000,13.0532824039459
1685507820000,13.0532824039459
1685507835000,13.0532824039459
1685507850000,13.0532824039459
1685507865000,13.0532824039459
1685507880000,13.0532824039459
1685507895000,13.0532824039459
1685507910000,13.0532824039459
1685507925000,13.0532824039459
1685507940000,13.0532824039459
1685507955000,13.0532824039459

